repository_language,commits
JavaScript,16240421
Java,8890152
Python,7629904
Ruby,7562994
PHP,6608490
C++,4200425
C,3940127
CSS,3118249
Shell,2133947
Objective-C,1951791
C#,1774997
Scala,728096
Perl,722933
Go,687554
VimL,647508
CoffeeScript,643794
Lua,323671
Emacs Lisp,318372
Clojure,316084
Haskell,315130
R,250003
Puppet,208300
Erlang,185930
TypeScript,167437
Groovy,167171
Matlab,156641
Rust,156611
ActionScript,142276
TeX,123080
OCaml,103847
Julia,97315
D,89411
Dart,86305
Arduino,71930
Haxe,64392
Common Lisp,63337
Logos,63219
XSLT,62001
Scheme,54992
Visual Basic,52516
Assembly,50399
PowerShell,49489
ASP,45661
Processing,45418
F#,44865
FORTRAN,42761
Elixir,42487
Racket,37017
Prolog,34802
ColdFusion,33312
XML,32209
Standard ML,28156
VHDL,27022
Delphi,26988
DM,24130
Vala,22984
Verilog,21818
Lasso,19755
Pascal,19670
DOT,17868
Tcl,14298
LiveScript,14295
Coq,13472
AutoHotkey,12872
Smalltalk,11444
OpenEdge ABL,11277
Apex,11086
Objective-J,8950
nesC,7613
Ada,7511
IDL,7403
Eiffel,7382
SuperCollider,6718
Nimrod,6405
AppleScript,5858
HaXe,5857
XQuery,5398
Factor,5006
M,4815
BlitzBasic,4484
Nemerle,4433
Kotlin,4107
Pure Data,4065
Dylan,3810
Xtend,3674
Io,3493
Gosu,3389
KRL,3155
Ceylon,3137
Slash,2896
Awk,2888
Max,2701
Parrot,2456
Scilab,2426
Oxygene,2268
XC,2123
DCPU-16 ASM,1963
ooc,1721
Elm,1506
