repository_language,month,pushes
M,2014-08-01,444
SourcePawn,2014-08-01,828
Pike,2014-08-01,144
VHDL,2014-08-01,1019
XSLT,2014-08-01,5750
Vala,2014-08-01,1585
xBase,2014-08-01,328
OCaml,2014-08-01,5072
JSONiq,2014-08-01,282
Agda,2014-08-01,429
D,2014-08-01,4509
F#,2014-08-01,2891
Xtend,2014-08-01,818
Objective-C++,2014-08-01,1199
Racket,2014-08-01,1510
Tcl,2014-08-01,1446
Max,2014-08-01,447
Ada,2014-08-01,331
Stata,2014-08-01,373
Boo,2014-08-01,34
OpenEdge ABL,2014-08-01,713
Nimrod,2014-08-01,335
XQuery,2014-08-01,439
Gnuplot,2014-08-01,393
ooc,2014-08-01,126
Augeas,2014-08-01,27
Factor,2014-08-01,86
VCL,2014-08-01,252
Scilab,2014-08-01,61
Arduino,2014-08-01,6968
ActionScript,2014-08-01,5340
Erlang,2014-08-01,7632
Elm,2014-08-01,354
PowerShell,2014-08-01,6111
Mercury,2014-08-01,369
Clojure,2014-08-01,15465
PAWN,2014-08-01,314
AutoHotkey,2014-08-01,1371
Verilog,2014-08-01,1329
Eiffel,2014-08-01,475
Scheme,2014-08-01,4262
FORTRAN,2014-08-01,3646
Puppet,2014-08-01,11407
Red,2014-08-01,68
J,2014-08-01,21
Mathematica,2014-08-01,1323
Prolog,2014-08-01,1381
Xojo,2014-08-01,183
IDL,2014-08-01,1450
Crystal,2014-08-01,126
ColdFusion,2014-08-01,1657
Logos,2014-08-01,651
Elixir,2014-08-01,3617
Dart,2014-08-01,6154
SQL,2014-08-01,1761
Frege,2014-08-01,61
Nix,2014-08-01,2670
wisp,2014-08-01,8
Grammatical Framework,2014-08-01,20
Turing,2014-08-01,6
Mirah,2014-08-01,28
Glyph,2014-08-01,21
Nit,2014-08-01,11
Oxygene,2014-08-01,1
Bro,2014-08-01,11
APL,2014-08-01,1
DCPU-16-01 ASM,2014-08-01,4
Zimpl,2014-08-01,2
Harbour,2014-08-01,5
Shen,2014-08-01,3
LookML,2014-08-01,3
HaXe,2014-08-01,8
Dogescript,2014-08-01,12
E,2014-08-01,2
PigLatin,2014-08-01,2
Delphi,2014-08-01,1
Cirru,2014-08-01,1
Slash,2014-08-01,36
Ragel in Ruby Host,2014-08-01,10
Ceylon,2014-08-01,169
BlitzBasic,2014-08-01,1523
Zephir,2014-08-01,30
Monkey,2014-08-01,40
XC,2014-08-01,102
SystemVerilog,2014-08-01,144
Brightscript,2014-08-01,121
RobotFramework,2014-08-01,25
Logtalk,2014-08-01,69
Coq,2014-08-01,1022
Standard ML,2014-08-01,686
PureScript,2014-08-01,545
LiveScript,2014-08-01,3221
SuperCollider,2014-08-01,67
AutoIt,2014-08-01,470
Propeller Spin,2014-08-01,355
Apex,2014-08-01,978
ATS,2014-08-01,201
Objective-J,2014-08-01,364
Smalltalk,2014-08-01,467
MoonScript,2014-08-01,191
Parrot,2014-08-01,91
PogoScript,2014-08-01,9
Pan,2014-08-01,27
Rebol,2014-08-01,57
Dylan,2014-08-01,21
Fantom,2014-08-01,4
GAMS,2014-08-01,28
