repository_language,month,commits
Max,2014-08-01,892
Agda,2014-08-01,506
Cuda,2014-08-01,1458
Squirrel,2014-08-01,289
SAS,2014-08-01,638
nesC,2014-08-01,1362
LiveScript,2014-08-01,3992
AutoIt,2014-08-01,682
ooc,2014-08-01,380
C,2014-08-01,428505
PHP,2014-08-01,742759
Java,2014-08-01,1033864
Python,2014-08-01,1015657
C++,2014-08-01,497511
Ruby,2014-08-01,738064
JavaScript,2014-08-01,1973188
GAMS,2014-08-01,52
,2014-08-01,1758001
ColdFusion,2014-08-01,3028
VHDL,2014-08-01,1801
Lua,2014-08-01,48458
TeX,2014-08-01,41769
Matlab,2014-08-01,16612
Shell,2014-08-01,253077
Perl,2014-08-01,69466
TypeScript,2014-08-01,33758
C#,2014-08-01,255572
PowerShell,2014-08-01,10486
Go,2014-08-01,154525
Emacs Lisp,2014-08-01,34129
Erlang,2014-08-01,16605
Inform 7,2014-08-01,335
Logtalk,2014-08-01,76
XQuery,2014-08-01,796
NetLogo,2014-08-01,258
Ada,2014-08-01,456
Idris,2014-08-01,200
Eiffel,2014-08-01,1151
Io,2014-08-01,276
Stata,2014-08-01,580
Slash,2014-08-01,90
KRL,2014-08-01,307
MoonScript,2014-08-01,248
Crystal,2014-08-01,241
Dogescript,2014-08-01,12
REALbasic,2014-08-01,71
Smalltalk,2014-08-01,843
Objective-C,2014-08-01,221598
UnrealScript,2014-08-01,76
PureScript,2014-08-01,1224
VCL,2014-08-01,434
PAWN,2014-08-01,452
AppleScript,2014-08-01,759
Standard ML,2014-08-01,1115
ATS,2014-08-01,476
GAP,2014-08-01,769
Verilog,2014-08-01,1956
ABAP,2014-08-01,46
Coq,2014-08-01,1566
Xojo,2014-08-01,358
AutoHotkey,2014-08-01,1908
M,2014-08-01,634
Processing,2014-08-01,4602
Perl6,2014-08-01,648
Visual Basic,2014-08-01,5824
Apex,2014-08-01,2309
DM,2014-08-01,10529
Gosu,2014-08-01,1822
Arduino,2014-08-01,10469
DOT,2014-08-01,507
Rust,2014-08-01,33186
Elixir,2014-08-01,8842
Game Maker Language,2014-08-01,1548
Common Lisp,2014-08-01,5545
Julia,2014-08-01,16894
F#,2014-08-01,5600
Kotlin,2014-08-01,918
Nimrod,2014-08-01,953
ASP,2014-08-01,4065
Tcl,2014-08-01,3336
Gnuplot,2014-08-01,671
Mathematica,2014-08-01,1634
IDL,2014-08-01,2674
JSONiq,2014-08-01,583
Objective-J,2014-08-01,885
Racket,2014-08-01,2379
Pure Data,2014-08-01,494
Factor,2014-08-01,199
Logos,2014-08-01,1306
SQL,2014-08-01,2564
Ceylon,2014-08-01,437
BlitzBasic,2014-08-01,2064
Hy,2014-08-01,110
R,2014-08-01,75463
Puppet,2014-08-01,19627
CSS,2014-08-01,728100
CoffeeScript,2014-08-01,87467
Scala,2014-08-01,85458
VimL,2014-08-01,64676
SourcePawn,2014-08-01,1477
Swift,2014-08-01,33458
Objective-C++,2014-08-01,2796
OCaml,2014-08-01,11765
Vala,2014-08-01,3181
Scheme,2014-08-01,6380
Groovy,2014-08-01,24204
Xtend,2014-08-01,1176
Haskell,2014-08-01,41493
D,2014-08-01,10523
SystemVerilog,2014-08-01,201
Alloy,2014-08-01,91
Nix,2014-08-01,5460
Haxe,2014-08-01,5721
ActionScript,2014-08-01,10589
FORTRAN,2014-08-01,5488
Prolog,2014-08-01,1893
Clojure,2014-08-01,33496
Dart,2014-08-01,13290
Pascal,2014-08-01,5182
XSLT,2014-08-01,13343
Elm,2014-08-01,621
OpenEdge ABL,2014-08-01,1218
Propeller Spin,2014-08-01,502
Assembly,2014-08-01,10946
Frege,2014-08-01,139
XProc,2014-08-01,71
Forth,2014-08-01,63
AGS Script,2014-08-01,32
Cirru,2014-08-01,3
