repository_language,date,activity
JavaScript,2014-09,308560
Java,2014-09,165397
Python,2014-09,146978
CSS,2014-09,115773
PHP,2014-09,111148
Ruby,2014-09,105411
C++,2014-09,71386
C,2014-09,62724
Shell,2014-09,43312
C#,2014-09,36928
Objective-C,2014-09,33083
Go,2014-09,21665
CoffeeScript,2014-09,12068
Perl,2014-09,11446
Scala,2014-09,10590
VimL,2014-09,9785
R,2014-09,9269
TeX,2014-09,8447
Lua,2014-09,5609
Clojure,2014-09,5515
Haskell,2014-09,5252
Emacs Lisp,2014-09,5023
Swift,2014-09,4895
Groovy,2014-09,3611
Rust,2014-09,3315
Puppet,2014-09,3146
TypeScript,2014-09,3078
Matlab,2014-09,2739
OCaml,2014-09,2609
Erlang,2014-09,2537
PowerShell,2014-09,2069
Dart,2014-09,2036
XSLT,2014-09,1812
Arduino,2014-09,1717
Julia,2014-09,1641
ActionScript,2014-09,1474
Common Lisp,2014-09,1382
D,2014-09,1238
F#,2014-09,1186
Assembly,2014-09,1127
Pascal,2014-09,1083
Visual Basic,2014-09,978
Nix,2014-09,949
Scheme,2014-09,938
Haxe,2014-09,922
FORTRAN,2014-09,892
DM,2014-09,797
Elixir,2014-09,796
Processing,2014-09,735
ASP,2014-09,698
SQF,2014-09,558
Racket,2014-09,516
Objective-C++,2014-09,430
SQL,2014-09,429
IDL,2014-09,402
LiveScript,2014-09,377
Vala,2014-09,374
Prolog,2014-09,374
ColdFusion,2014-09,369
Game Maker Language,2014-09,367
Apex,2014-09,314
BlitzBasic,2014-09,309
Mathematica,2014-09,300
Verilog,2014-09,274
Cuda,2014-09,270
Tcl,2014-09,267
Coq,2014-09,262
AGS Script,2014-09,229
nesC,2014-09,212
VHDL,2014-09,209
OpenSCAD,2014-09,186
AutoHotkey,2014-09,184
Smalltalk,2014-09,178
Objective-J,2014-09,156
PureScript,2014-09,156
SourcePawn,2014-09,154
Standard ML,2014-09,153
Xtend,2014-09,147
Eiffel,2014-09,142
Gosu,2014-09,141
Kotlin,2014-09,141
OpenEdge ABL,2014-09,136
xBase,2014-09,133
JSONiq,2014-09,130
Gnuplot,2014-09,127
Logos,2014-09,127
AutoIt,2014-09,120
Perl6,2014-09,117
Agda,2014-09,110
Max,2014-09,110
Pan,2014-09,98
LabVIEW,2014-09,89
Ada,2014-09,87
SAS,2014-09,86
GAP,2014-09,84
Pure Data,2014-09,83
Propeller Spin,2014-09,82
AppleScript,2014-09,80
Crystal,2014-09,80
PAWN,2014-09,77
Awk,2014-09,76
M,2014-09,72
XQuery,2014-09,71
DOT,2014-09,63
XML,2014-09,59
Nimrod,2014-09,57
RobotFramework,2014-09,54
Mercury,2014-09,54
ooc,2014-09,53
Stata,2014-09,52
CLIPS,2014-09,52
NetLogo,2014-09,49
Elm,2014-09,45
KRL,2014-09,45
MoonScript,2014-09,43
Augeas,2014-09,43
ATS,2014-09,41
ABAP,2014-09,40
ANTLR,2014-09,37
Scilab,2014-09,36
SuperCollider,2014-09,36
Ceylon,2014-09,35
Rebol,2014-09,35
Inform 7,2014-09,35
Nemerle,2014-09,34
Io,2014-09,34
Brightscript,2014-09,27
Alloy,2014-09,26
Turing,2014-09,26
VCL,2014-09,25
Lasso,2014-09,24
Pike,2014-09,24
Arc,2014-09,23
Monkey,2014-09,22
J,2014-09,22
Logtalk,2014-09,22
Mirah,2014-09,21
Dylan,2014-09,18
Squirrel,2014-09,18
Idris,2014-09,17
HaXe,2014-09,17
SystemVerilog,2014-09,17
Isabelle,2014-09,17
Delphi,2014-09,17
Hy,2014-09,16
AspectJ,2014-09,16
Slash,2014-09,15
BlitzMax,2014-09,13
LookML,2014-09,12
Factor,2014-09,12
Parrot,2014-09,12
FLUX,2014-09,12
wisp,2014-09,12
Forth,2014-09,11
PigLatin,2014-09,11
Grammatical Framework,2014-09,11
Bluespec,2014-09,11
Component Pascal,2014-09,10
Boo,2014-09,10
XC,2014-09,10
Red,2014-09,10
COBOL,2014-09,9
UnrealScript,2014-09,9
Bro,2014-09,8
REALbasic,2014-09,7
Frege,2014-09,7
Zephir,2014-09,6
Fantom,2014-09,4
PogoScript,2014-09,4
Glyph,2014-09,4
Chapel,2014-09,3
Clean,2014-09,2
Fancy,2014-09,2
Nu,2014-09,2
Xojo,2014-09,1
EmberScript,2014-09,1
XProc,2014-09,1
Ragel in Ruby Host,2014-09,1
Opa,2014-09,1
Grace,2014-09,1
Volt,2014-09,1
Ecl,2014-09,1
JavaScript,2014-08,1697947
Java,2014-08,893003
Python,2014-08,845891
CSS,2014-08,683973
PHP,2014-08,619100
Ruby,2014-08,602959
C++,2014-08,408866
C,2014-08,350804
Shell,2014-08,231030
C#,2014-08,208167
Objective-C,2014-08,198861
Go,2014-08,124717
CoffeeScript,2014-08,71560
R,2014-08,69890
Perl,2014-08,60150
Scala,2014-08,59912
VimL,2014-08,59885
Lua,2014-08,41201
TeX,2014-08,39305
Haskell,2014-08,34761
Swift,2014-08,32289
Emacs Lisp,2014-08,29931
Clojure,2014-08,29113
TypeScript,2014-08,22348
Rust,2014-08,21212
Groovy,2014-08,20778
Puppet,2014-08,17345
Matlab,2014-08,15126
Erlang,2014-08,13793
Dart,2014-08,10393
XSLT,2014-08,10097
Arduino,2014-08,9798
PowerShell,2014-08,9176
OCaml,2014-08,9052
Julia,2014-08,8993
ActionScript,2014-08,8705
Assembly,2014-08,8552
D,2014-08,7399
Elixir,2014-08,6921
DM,2014-08,6383
Scheme,2014-08,6044
Visual Basic,2014-08,5396
Common Lisp,2014-08,5054
Pascal,2014-08,5041
Haxe,2014-08,4801
FORTRAN,2014-08,4676
F#,2014-08,4533
Processing,2014-08,4454
Nix,2014-08,4270
ASP,2014-08,3945
LiveScript,2014-08,3896
Tcl,2014-08,3112
Objective-C++,2014-08,2549
ColdFusion,2014-08,2473
Vala,2014-08,2437
Racket,2014-08,2296
SQL,2014-08,2223
IDL,2014-08,2179
BlitzBasic,2014-08,1967
Apex,2014-08,1820
AutoHotkey,2014-08,1775
Prolog,2014-08,1735
Verilog,2014-08,1727
VHDL,2014-08,1611
Mathematica,2014-08,1588
Coq,2014-08,1363
Game Maker Language,2014-08,1304
Cuda,2014-08,1271
Logos,2014-08,1210
SourcePawn,2014-08,1194
Gosu,2014-08,1182
nesC,2014-08,1075
OpenEdge ABL,2014-08,1060
Xtend,2014-08,1021
PureScript,2014-08,976
Standard ML,2014-08,952
Kotlin,2014-08,880
Nimrod,2014-08,760
Smalltalk,2014-08,742
AppleScript,2014-08,732
Eiffel,2014-08,717
Max,2014-08,687
XQuery,2014-08,687
GAP,2014-08,666
AutoIt,2014-08,665
Perl6,2014-08,641
M,2014-08,612
SAS,2014-08,609
Objective-J,2014-08,593
xBase,2014-08,593
Elm,2014-08,540
Stata,2014-08,535
Mercury,2014-08,513
Agda,2014-08,501
Gnuplot,2014-08,495
DOT,2014-08,489
Pure Data,2014-08,484
Propeller Spin,2014-08,473
XML,2014-08,451
PAWN,2014-08,448
Ada,2014-08,435
JSONiq,2014-08,426
VCL,2014-08,403
Awk,2014-08,323
Inform 7,2014-08,311
Xojo,2014-08,309
Component Pascal,2014-08,290
Ceylon,2014-08,287
KRL,2014-08,283
Bluespec,2014-08,268
Io,2014-08,254
MoonScript,2014-08,248
ATS,2014-08,247
SQF,2014-08,240
Squirrel,2014-08,232
SystemVerilog,2014-08,202
Brightscript,2014-08,200
ooc,2014-08,197
NetLogo,2014-08,193
Idris,2014-08,190
Isabelle,2014-08,178
CLIPS,2014-08,175
Crystal,2014-08,172
ANTLR,2014-08,164
XC,2014-08,148
Nemerle,2014-08,148
Pike,2014-08,148
FLUX,2014-08,140
Red,2014-08,137
Factor,2014-08,134
Frege,2014-08,131
Lasso,2014-08,129
OpenSCAD,2014-08,124
AspectJ,2014-08,119
Augeas,2014-08,114
COBOL,2014-08,113
Parrot,2014-08,113
Hy,2014-08,95
Scilab,2014-08,95
BlitzMax,2014-08,93
Slash,2014-08,91
Rebol,2014-08,90
Alloy,2014-08,90
SuperCollider,2014-08,90
Pan,2014-08,82
HaXe,2014-08,72
Logtalk,2014-08,72
UnrealScript,2014-08,72
XProc,2014-08,63
Forth,2014-08,61
REALbasic,2014-08,58
Zephir,2014-08,56
GAMS,2014-08,52
Delphi,2014-08,52
Mirah,2014-08,51
Dylan,2014-08,51
Arc,2014-08,50
Boo,2014-08,49
AGS Script,2014-08,49
ABAP,2014-08,48
Monkey,2014-08,48
Bro,2014-08,42
RobotFramework,2014-08,36
Grammatical Framework,2014-08,35
Nu,2014-08,33
wisp,2014-08,32
J,2014-08,30
Glyph,2014-08,28
Volt,2014-08,25
Ragel in Ruby Host,2014-08,18
Nit,2014-08,16
Oxygene,2014-08,14
PogoScript,2014-08,13
Dogescript,2014-08,12
Turing,2014-08,12
Harbour,2014-08,11
PigLatin,2014-08,10
Ecl,2014-08,10
Zimpl,2014-08,5
DCPU-16 ASM,2014-08,4
Opa,2014-08,4
Fantom,2014-08,4
Chapel,2014-08,3
LabVIEW,2014-08,3
LookML,2014-08,3
Cirru,2014-08,3
Shen,2014-08,3
E,2014-08,2
Self,2014-08,2
Moocode,2014-08,1
Rouge,2014-08,1
APL,2014-08,1
JavaScript,2014-07,1682755
Java,2014-07,899406
Python,2014-07,823562
CSS,2014-07,701216
Ruby,2014-07,610121
PHP,2014-07,607022
C++,2014-07,413703
C,2014-07,382649
Shell,2014-07,226340
C#,2014-07,208896
Objective-C,2014-07,204647
Go,2014-07,125047
CoffeeScript,2014-07,72122
R,2014-07,70667
Scala,2014-07,62853
Perl,2014-07,61184
VimL,2014-07,60317
TeX,2014-07,43197
Lua,2014-07,40580
Haskell,2014-07,33796
Swift,2014-07,28789
Clojure,2014-07,27010
Emacs Lisp,2014-07,26142
Rust,2014-07,22737
Groovy,2014-07,21408
TypeScript,2014-07,18717
Puppet,2014-07,18701
Matlab,2014-07,16224
Assembly,2014-07,12971
Erlang,2014-07,12846
ActionScript,2014-07,10179
Dart,2014-07,9560
OCaml,2014-07,8968
Arduino,2014-07,8931
Julia,2014-07,8876
XSLT,2014-07,8836
PowerShell,2014-07,8011
D,2014-07,7207
DM,2014-07,6470
Visual Basic,2014-07,6162
F#,2014-07,5913
Elixir,2014-07,5782
Scheme,2014-07,5365
FORTRAN,2014-07,5155
Haxe,2014-07,4782
Pascal,2014-07,4717
Common Lisp,2014-07,4673
Processing,2014-07,4071
ASP,2014-07,3669
LiveScript,2014-07,3654
ColdFusion,2014-07,3111
Objective-C++,2014-07,2642
SQL,2014-07,2559
Racket,2014-07,2492
Vala,2014-07,2439
IDL,2014-07,2410
Verilog,2014-07,2155
Nix,2014-07,2151
VHDL,2014-07,1848
OpenEdge ABL,2014-07,1826
BlitzBasic,2014-07,1643
Apex,2014-07,1597
Tcl,2014-07,1578
nesC,2014-07,1531
Cuda,2014-07,1508
Smalltalk,2014-07,1492
Logos,2014-07,1351
Mathematica,2014-07,1347
SourcePawn,2014-07,1327
Prolog,2014-07,1278
AutoHotkey,2014-07,1201
Kotlin,2014-07,1198
Game Maker Language,2014-07,1182
Coq,2014-07,1163
Gosu,2014-07,1000
Max,2014-07,867
Standard ML,2014-07,862
Mercury,2014-07,793
Objective-J,2014-07,756
Nimrod,2014-07,756
Eiffel,2014-07,743
xBase,2014-07,731
Elm,2014-07,702
AppleScript,2014-07,676
Xtend,2014-07,663
Pure Data,2014-07,614
Gnuplot,2014-07,604
PureScript,2014-07,603
Perl6,2014-07,565
SAS,2014-07,550
Stata,2014-07,514
Ada,2014-07,499
XQuery,2014-07,498
DOT,2014-07,464
GAP,2014-07,449
M,2014-07,425
AutoIt,2014-07,376
Bluespec,2014-07,361
Propeller Spin,2014-07,348
KRL,2014-07,333
SuperCollider,2014-07,331
Agda,2014-07,331
Io,2014-07,316
XC,2014-07,292
PAWN,2014-07,288
Crystal,2014-07,288
Nemerle,2014-07,280
MoonScript,2014-07,275
Ceylon,2014-07,271
Awk,2014-07,269
Idris,2014-07,253
Squirrel,2014-07,247
SystemVerilog,2014-07,225
VCL,2014-07,222
Inform 7,2014-07,219
NetLogo,2014-07,210
COBOL,2014-07,201
XML,2014-07,196
FLUX,2014-07,194
Factor,2014-07,193
UnrealScript,2014-07,184
Dylan,2014-07,183
Brightscript,2014-07,183
Pike,2014-07,182
ABAP,2014-07,175
Component Pascal,2014-07,166
ANTLR,2014-07,160
Pan,2014-07,151
ATS,2014-07,150
Red,2014-07,144
Rebol,2014-07,139
Slash,2014-07,139
Isabelle,2014-07,136
Scilab,2014-07,134
Parrot,2014-07,131
Lasso,2014-07,124
JSONiq,2014-07,119
AspectJ,2014-07,117
wisp,2014-07,115
Monkey,2014-07,113
BlitzMax,2014-07,111
ooc,2014-07,102
Logtalk,2014-07,101
Frege,2014-07,100
Arc,2014-07,97
Hy,2014-07,93
HaXe,2014-07,90
Augeas,2014-07,82
Bro,2014-07,81
J,2014-07,78
Forth,2014-07,77
Ecl,2014-07,65
Delphi,2014-07,59
Mirah,2014-07,57
REALbasic,2014-07,55
XProc,2014-07,48
CLIPS,2014-07,46
PogoScript,2014-07,42
Zephir,2014-07,40
Xojo,2014-07,39
Nu,2014-07,39
Alloy,2014-07,37
Boo,2014-07,35
Glyph,2014-07,34
GAMS,2014-07,34
Grammatical Framework,2014-07,27
Volt,2014-07,18
Ragel in Ruby Host,2014-07,16
Dogescript,2014-07,15
eC,2014-07,14
Turing,2014-07,14
RobotFramework,2014-07,13
Clean,2014-07,12
Oxygene,2014-07,11
Cirru,2014-07,9
Fantom,2014-07,8
Self,2014-07,7
DCPU-16 ASM,2014-07,6
Opa,2014-07,4
Ox,2014-07,3
