repository_language,commits
null,21335909
JavaScript,14612618
Ruby,8504230
Java,7976107
Python,6959540
PHP,6592181
C,4373176
C++,3742117
Objective-C,1905920
Shell,1757759
C#,1556416
Perl,1213107
VimL,800425
Scala,634379
CoffeeScript,557758
Emacs Lisp,358710
Haskell,357615
Clojure,326301
Lua,291068
Go,258030
Erlang,225016
ActionScript,205688
Groovy,185635
R,162456
Puppet,135236
D,102435
Matlab,96963
OCaml,92740
Common Lisp,70643
Rust,62667
Assembly,52691
Arduino,45592
Delphi,45123
HaXe,45067
Julia,44735
ColdFusion,44135
Visual Basic,38188
Scheme,37131
Dart,36589
Racket,35666
FORTRAN,34784
F#,27893
PowerShell,27713
ASP,27433
Prolog,24164
Tcl,24034
Objective-J,23038
Elixir,18559
VHDL,18213
AutoHotkey,17846
Verilog,17447
Nemerle,16628
Smalltalk,16076
Vala,15598
Apex,8928
Standard ML,8926
Factor,8743
Coq,8214
OpenEdge ABL,7863
DCPU-16 ASM,7666
Eiffel,6121
Ada,5798
XQuery,5463
Scilab,5447
Parrot,5305
SuperCollider,4766
Dylan,3829
Pure Data,3730
Kotlin,3575
ooc,2544
Io,2254
Powershell,2112
Nimrod,2026
AppleScript,1923
Gosu,1550
Opa,1501
Boo,1376
Arc,1332
Rebol,1237
Logtalk,1184
Mirah,1023
Turing,1000
Augeas,918
Fancy,885
Ceylon,793
Max/MSP,629
Ioke,585
Bro,572
Self,492
Modelica,390
Nu,382
Max,249
Ecl,209
Fantom,144
eC,66
DCPU-16 Assembly,6
