repository_language,date,activity
JavaScript,2014-09-01,319817
Java,2014-09-01,170507
Python,2014-09-01,152893
CSS,2014-09-01,120647
PHP,2014-09-01,115238
Ruby,2014-09-01,109859
C++,2014-09-01,74095
C,2014-09-01,65700
Shell,2014-09-01,45148
C#,2014-09-01,38260
Objective-C,2014-09-01,0
JavaScript,2014-06-01,1528432
Java,2014-06-01,889103
Python,2014-06-01,721437
CSS,2014-06-01,582348
Ruby,2014-06-01,579318
PHP,2014-06-01,568622
C++,2014-06-01,389509
C,2014-06-01,368065
Shell,2014-06-01,216093
C#,2014-06-01,194363
Objective-C,2014-06-01,0
JavaScript,2014-03-01,1510994
Java,2014-03-01,912973
Python,2014-03-01,727375
PHP,2014-03-01,613374
CSS,2014-03-01,613322
Ruby,2014-03-01,611042
C++,2014-03-01,391382
C,2014-03-01,386797
Shell,2014-03-01,216714
Objective-C,2014-03-01,212820
C#,2014-03-01,0
JavaScript,2013-12-01,1183777
Java,2013-12-01,693391
Python,2013-12-01,521387
Ruby,2013-12-01,518196
PHP,2013-12-01,466259
CSS,2013-12-01,406772
C++,2013-12-01,314785
C,2013-12-01,309699
Shell,2013-12-01,185826
Objective-C,2013-12-01,157848
C#,2013-12-01,0
JavaScript,2013-09-01,985001
Java,2013-09-01,530599
Ruby,2013-09-01,454233
Python,2013-09-01,449785
PHP,2013-09-01,394993
CSS,2013-09-01,312435
C++,2013-09-01,248797
C,2013-09-01,240271
Shell,2013-09-01,139595
Objective-C,2013-09-01,121519
C#,2013-09-01,0
JavaScript,2013-06-01,1105998
Java,2013-06-01,540621
Ruby,2013-06-01,492983
Python,2013-06-01,449336
PHP,2013-06-01,398209
C++,2013-06-01,245909
C,2013-06-01,233957
Shell,2013-06-01,133322
Objective-C,2013-06-01,115274
C#,2013-06-01,102143
CSS,2013-06-01,0
JavaScript,2013-03-01,1046422
Java,2013-03-01,567670
Ruby,2013-03-01,496942
Python,2013-03-01,431464
PHP,2013-03-01,408831
C,2013-03-01,240929
C++,2013-03-01,232158
Objective-C,2013-03-01,153740
Shell,2013-03-01,124105
C#,2013-03-01,97433
CSS,2013-03-01,0
JavaScript,2012-12-01,688331
Java,2012-12-01,388063
Ruby,2012-12-01,366612
Python,2012-12-01,304998
PHP,2012-12-01,295734
C,2012-12-01,182046
C++,2012-12-01,169299
Objective-C,2012-12-01,93535
Shell,2012-12-01,90186
C#,2012-12-01,71854
CSS,2012-12-01,0
JavaScript,2012-09-01,837967
Ruby,2012-09-01,457201
Java,2012-09-01,413953
Python,2012-09-01,382658
PHP,2012-09-01,367453
C,2012-09-01,214866
C++,2012-09-01,191490
Objective-C,2012-09-01,103023
Shell,2012-09-01,100725
C#,2012-09-01,80334
CSS,2012-09-01,0
JavaScript,2012-06-01,1258832
Ruby,2012-06-01,746947
Java,2012-06-01,653973
Python,2012-06-01,580134
PHP,2012-06-01,549347
C,2012-06-01,398599
C++,2012-06-01,320860
Objective-C,2012-06-01,152486
Shell,2012-06-01,148500
CSS,2012-06-01,0
C#,2012-06-01,129820
JavaScript,2012-03-01,972438
Ruby,2012-03-01,674163
Java,2012-03-01,582723
Python,2012-03-01,499329
PHP,2012-03-01,460641
C,2012-03-01,348678
C++,2012-03-01,265203
Objective-C,2012-03-01,134451
Shell,2012-03-01,124404
C#,2012-03-01,112566
CSS,2012-03-01,0
