repository_language,date,activity
JavaScript,2014-09-01,314153
Java,2014-09-01,167888
Python,2014-09-01,149799
CSS,2014-09-01,118126
PHP,2014-09-01,113348
Ruby,2014-09-01,107598
C++,2014-09-01,72712
C,2014-09-01,63797
Shell,2014-09-01,44161
C#,2014-09-01,37562
Objective-C,2014-09-01,33517
Go,2014-09-01,22068
CoffeeScript,2014-09-01,12300
Perl,2014-09-01,11648
Scala,2014-09-01,10805
VimL,2014-09-01,9987
R,2014-09-01,9497
TeX,2014-09-01,8590
Lua,2014-09-01,5728
Clojure,2014-09-01,5637
Haskell,2014-09-01,5371
Emacs Lisp,2014-09-01,5104
Swift,2014-09-01,5004
JavaScript,2014-08-01,1697947
Java,2014-08-01,893003
Python,2014-08-01,845891
CSS,2014-08-01,683973
PHP,2014-08-01,619100
Ruby,2014-08-01,602959
C++,2014-08-01,408866
C,2014-08-01,350804
Shell,2014-08-01,231030
C#,2014-08-01,208167
Objective-C,2014-08-01,198861
Go,2014-08-01,124717
CoffeeScript,2014-08-01,71560
R,2014-08-01,69890
Perl,2014-08-01,60150
Scala,2014-08-01,59912
VimL,2014-08-01,59885
Lua,2014-08-01,41201
TeX,2014-08-01,39305
Haskell,2014-08-01,34761
Swift,2014-08-01,32289
Emacs Lisp,2014-08-01,29931
Clojure,2014-08-01,29113
TypeScript,2014-08-01,22348
Rust,2014-08-01,21212
Groovy,2014-08-01,20778
Puppet,2014-08-01,17345
Matlab,2014-08-01,15126
Erlang,2014-08-01,13793
Dart,2014-08-01,10393
XSLT,2014-08-01,10097
Arduino,2014-08-01,9798
PowerShell,2014-08-01,9176
OCaml,2014-08-01,9052
Julia,2014-08-01,8993
ActionScript,2014-08-01,8705
Assembly,2014-08-01,8552
D,2014-08-01,7399
Elixir,2014-08-01,6921
DM,2014-08-01,6383
Scheme,2014-08-01,6044
Visual Basic,2014-08-01,5396
Common Lisp,2014-08-01,5054
Pascal,2014-08-01,5041
JavaScript,2014-07-01,1682755
