"country","events","users","language"
"United States",20656039,613149,"JavaScript"
"Germany",3644792,97939,"JavaScript"
"France",3068284,82747,"JavaScript"
"China",2579044,114921,"JavaScript"
"Canada",2137705,63996,"JavaScript"
"Japan",2055325,59791,"JavaScript"
"United Kingdom",1875115,65724,"Ruby"
"Russia",1587912,54708,"JavaScript"
"Australia",1485915,45196,"JavaScript"
"El Salvador",1481045,41966,"JavaScript"
"India",1337170,71606,"JavaScript"
"Brazil",1056338,42325,"JavaScript"
"Spain",1009089,26824,"JavaScript"
"Sweden",940712,30444,"JavaScript"
"Netherlands",887522,24461,"JavaScript"
"Mexico",805728,37621,"JavaScript"
"Switzerland",804555,17599,"JavaScript"
"Italy",747920,23102,"JavaScript"
"Poland",722757,23907,"JavaScript"
"Ukraine",593210,20256,"JavaScript"
"Norway",577519,16552,"JavaScript"
"Finland",507260,13313,"JavaScript"
"New Zealand",503949,13388,"JavaScript"
"Czech Republic",502115,12175,"JavaScript"
"Taiwan",484411,17026,"JavaScript"
"Austria",476519,12873,"JavaScript"
"Denmark",471590,14357,"JavaScript"
"Belgium",459543,13400,"JavaScript"
"Argentina",367151,12213,"JavaScript"
