repository_language,month,creates
Tcl,2014-08,22
AutoHotkey,2014-08,9
PowerShell,2014-08,1
FORTRAN,2014-08,2
Scala,2014-08,2
JavaScript,2014-08,297
C,2014-08,27
Arduino,2014-08,9
Cuda,2014-08,2
Haskell,2014-08,4
VimL,2014-08,11
,2014-08,499198
Prolog,2014-08,1
Ruby,2014-08,125
CSS,2014-08,206
C++,2014-08,36
Puppet,2014-08,2
Processing,2014-08,4
Logos,2014-08,2
BlitzBasic,2014-08,1
Java,2014-08,117
Go,2014-08,4
Matlab,2014-08,5
PHP,2014-08,71
ColdFusion,2014-08,1
Dart,2014-08,3
C#,2014-08,18
Objective-C,2014-08,119
TeX,2014-08,52
Perl,2014-08,34
CoffeeScript,2014-08,5
Swift,2014-08,31
Clojure,2014-08,2
Racket,2014-08,1
Shell,2014-08,28
Python,2014-08,123
R,2014-08,65
Lua,2014-08,1
AppleScript,2014-08,1
Groovy,2014-08,1
Elixir,2014-08,1
Elixir,2014-07,3
Haskell,2014-07,5
Arduino,2014-07,5
C#,2014-07,6
Rust,2014-07,1
Erlang,2014-07,1
Julia,2014-07,1
Lua,2014-07,6
IDL,2014-07,1
F#,2014-07,1
Haxe,2014-07,1
Clojure,2014-07,1
CoffeeScript,2014-07,5
VimL,2014-07,13
Groovy,2014-07,4
Scheme,2014-07,4
Racket,2014-07,2
C,2014-07,18
Ruby,2014-07,335
Perl,2014-07,10
CSS,2014-07,301
Python,2014-07,87
Swift,2014-07,23
Scala,2014-07,3
C++,2014-07,31
ColdFusion,2014-07,1
Matlab,2014-07,2
SourcePawn,2014-07,1
Shell,2014-07,27
TeX,2014-07,26
M,2014-07,1
JavaScript,2014-07,428
,2014-07,558066
PHP,2014-07,54
Java,2014-07,73
XSLT,2014-07,2
R,2014-07,58
Objective-C,2014-07,88
Go,2014-07,4
Squirrel,2014-06,1
Java,2014-06,56
Matlab,2014-06,2
Python,2014-06,71
Swift,2014-06,24
Julia,2014-06,1
