repository_language,month,public_repos
Lasso,2014-08,1
Vala,2014-08,1
Haskell,2014-08,25
Logos,2014-08,4
Assembly,2014-08,8
Stata,2014-08,1
Common Lisp,2014-08,2
R,2014-08,57
Clojure,2014-08,49
FORTRAN,2014-08,6
Objective-C,2014-08,326
Erlang,2014-08,11
Standard ML,2014-08,3
PowerShell,2014-08,37
SQL,2014-08,2
Emacs Lisp,2014-08,10
nesC,2014-08,1
AppleScript,2014-08,1
F#,2014-08,3
ANTLR,2014-08,2
Opa,2014-08,1
SourcePawn,2014-08,1
Elm,2014-08,1
Pascal,2014-08,4
Arduino,2014-08,11
Scala,2014-08,54
Go,2014-08,145
Shell,2014-08,183
Processing,2014-08,4
Verilog,2014-08,3
ActionScript,2014-08,20
VHDL,2014-08,4
ASP,2014-08,8
Cuda,2014-08,1
TypeScript,2014-08,20
Bro,2014-08,1
Scheme,2014-08,5
Visual Basic,2014-08,5
Objective-C++,2014-08,7
Lua,2014-08,10
AutoIt,2014-08,2
ColdFusion,2014-08,1
Apex,2014-08,1
SAS,2014-08,1
XSLT,2014-08,3
Agda,2014-08,1
Racket,2014-08,3
Brightscript,2014-08,1
Prolog,2014-08,6
OCaml,2014-08,14
D,2014-08,6
Squirrel,2014-08,1
Julia,2014-08,8
Kotlin,2014-08,1
Propeller Spin,2014-08,1
IDL,2014-08,2
VimL,2014-08,25
Elixir,2014-08,2
Perl,2014-08,27
Groovy,2014-08,20
Python,2014-08,757
Gosu,2014-08,1
Puppet,2014-08,17
JavaScript,2014-08,1870
,2014-08,1258
Java,2014-08,862
CSS,2014-08,668
Ruby,2014-08,857
Rust,2014-08,11
Mercury,2014-08,1
Dart,2014-08,5
C#,2014-08,250
TeX,2014-08,86
C++,2014-08,353
C,2014-08,281
CoffeeScript,2014-08,87
PHP,2014-08,616
Matlab,2014-08,40
BlitzBasic,2014-08,1
Swift,2014-08,40
Visual Basic,2014-07,8
Isabelle,2014-07,2
Scilab,2014-07,1
ANTLR,2014-07,1
Coq,2014-07,2
Apex,2014-07,2
FORTRAN,2014-07,4
ABAP,2014-07,2
Brightscript,2014-07,1
VCL,2014-07,1
Lua,2014-07,24
Emacs Lisp,2014-07,8
Elm,2014-07,1
Objective-C++,2014-07,1
ASP,2014-07,3
Erlang,2014-07,13
MoonScript,2014-07,1
Mercury,2014-07,1
JSONiq,2014-07,1
C++,2014-07,360
Monkey,2014-07,1
IDL,2014-07,2
Java,2014-07,979
Python,2014-07,787
XSLT,2014-07,5
CSS,2014-07,666
Idris,2014-07,1
,2014-07,1100
PowerShell,2014-07,7
JavaScript,2014-07,1750
AppleScript,2014-07,2
Logos,2014-07,6
Julia,2014-07,8
ColdFusion,2014-07,1
Scala,2014-07,64
J,2014-07,1
SystemVerilog,2014-07,2
Dart,2014-07,3
Arduino,2014-07,7
Elixir,2014-07,2
Max,2014-07,1
Cuda,2014-07,2
OpenEdge ABL,2014-07,4
Slash,2014-07,1
Rust,2014-07,11
Verilog,2014-07,3
M,2014-07,1
Tcl,2014-07,2
XProc,2014-07,1
Swift,2014-07,30
Processing,2014-07,7
Nimrod,2014-07,1
BlitzBasic,2014-07,1
Matlab,2014-07,46
Shell,2014-07,166
R,2014-07,58
C#,2014-07,247
Pascal,2014-07,1
C,2014-07,343
TeX,2014-07,109
Groovy,2014-07,29
Scheme,2014-07,6
Go,2014-07,161
Puppet,2014-07,23
Ruby,2014-07,902
Perl,2014-07,40
TypeScript,2014-07,26
eC,2014-07,1
PHP,2014-07,658
Haxe,2014-07,6
Haskell,2014-07,41
Assembly,2014-07,17
Clojure,2014-07,33
VimL,2014-07,28
Frege,2014-07,1
XQuery,2014-07,3
Objective-C,2014-07,365
xBase,2014-07,1
F#,2014-07,1
OCaml,2014-07,11
SQL,2014-07,3
Prolog,2014-07,4
D,2014-07,9
VHDL,2014-07,4
ActionScript,2014-07,24
CoffeeScript,2014-07,109
Mathematica,2014-07,2
Racket,2014-07,1
Nu,2014-07,1
AutoIt,2014-06,2
Slash,2014-06,1
Xtend,2014-06,1
Processing,2014-06,4
Lua,2014-06,21
Ragel in Ruby Host,2014-06,1
Scilab,2014-06,1
VHDL,2014-06,7
IDL,2014-06,1
OCaml,2014-06,11
BlitzBasic,2014-06,1
ActionScript,2014-06,20
D,2014-06,5
FORTRAN,2014-06,3
SQL,2014-06,17
Assembly,2014-06,12
XSLT,2014-06,7
Standard ML,2014-06,2
Perl,2014-06,56
Pascal,2014-06,2
Monkey,2014-06,1
UnrealScript,2014-06,1
Pike,2014-06,1
Max,2014-06,1
Elixir,2014-06,6
Apex,2014-06,1
Tcl,2014-06,1
ColdFusion,2014-06,1
Groovy,2014-06,10
Game Maker Language,2014-06,2
,2014-06,1221
LiveScript,2014-06,8
TypeScript,2014-06,28
ASP,2014-06,5
R,2014-06,54
JavaScript,2014-06,1840
Shell,2014-06,138
PHP,2014-06,660
Ruby,2014-06,1057
Cuda,2014-06,1
CSS,2014-06,625
Objective-C,2014-06,308
M,2014-06,1
VimL,2014-06,25
F#,2014-06,3
C#,2014-06,229
Go,2014-06,116
C,2014-06,354
Prolog,2014-06,3
Erlang,2014-06,23
Coq,2014-06,1
Racket,2014-06,2
CoffeeScript,2014-06,81
Python,2014-06,687
Matlab,2014-06,51
C++,2014-06,380
Haskell,2014-06,45
Clojure,2014-06,15
Haxe,2014-06,4
XQuery,2014-06,2
Julia,2014-06,4
Scala,2014-06,55
Dart,2014-06,6
Kotlin,2014-06,1
Agda,2014-06,1
PowerShell,2014-06,6
REALbasic,2014-06,1
DM,2014-06,1
Arduino,2014-06,13
Rust,2014-06,15
nesC,2014-06,3
TeX,2014-06,112
Puppet,2014-06,26
Visual Basic,2014-06,8
PAWN,2014-06,1
Emacs Lisp,2014-06,4
DOT,2014-06,3
eC,2014-06,1
Java,2014-06,986
Brightscript,2014-06,1
Swift,2014-06,37
OpenEdge ABL,2014-06,1
Verilog,2014-06,7
Perl,2014-05,32
Standard ML,2014-05,4
TypeScript,2014-05,28
Inform 7,2014-05,1
Pascal,2014-05,1
Rebol,2014-05,5
PowerShell,2014-05,12
Groovy,2014-05,17
Scilab,2014-05,2
SourcePawn,2014-05,1
Arduino,2014-05,9
BlitzBasic,2014-05,2
nesC,2014-05,2
Apex,2014-05,2
Julia,2014-05,5
AutoHotkey,2014-05,1
Arc,2014-05,2
R,2014-05,51
F#,2014-05,5
Haskell,2014-05,32
Haxe,2014-05,4
Ragel in Ruby Host,2014-05,1
LiveScript,2014-05,6
Elixir,2014-05,2
Pure Data,2014-05,1
CLIPS,2014-05,1
Common Lisp,2014-05,5
VimL,2014-05,22
Processing,2014-05,8
Scala,2014-05,66
Coq,2014-05,2
C++,2014-05,415
Rust,2014-05,23
CSS,2014-05,577
C#,2014-05,278
Awk,2014-05,1
D,2014-05,5
Emacs Lisp,2014-05,13
Clojure,2014-05,36
Java,2014-05,1213
,2014-05,1223
Io,2014-05,1
Scheme,2014-05,15
Ruby,2014-05,951
PHP,2014-05,648
JavaScript,2014-05,1954
ActionScript,2014-05,13
Lua,2014-05,19
Slash,2014-05,1
Racket,2014-05,5
VHDL,2014-05,7
AutoIt,2014-05,2
SystemVerilog,2014-05,3
GAP,2014-05,1
OCaml,2014-05,10
CoffeeScript,2014-05,96
Assembly,2014-05,13
Logos,2014-05,5
Prolog,2014-05,2
TeX,2014-05,147
M,2014-05,1
Objective-C,2014-05,377
Puppet,2014-05,17
Dart,2014-05,4
Erlang,2014-05,19
Shell,2014-05,144
Go,2014-05,129
Brightscript,2014-05,1
XSLT,2014-05,5
Idris,2014-05,1
Stata,2014-05,1
Matlab,2014-05,30
Gnuplot,2014-05,1
ASP,2014-05,10
Verilog,2014-05,4
Visual Basic,2014-05,9
Cuda,2014-05,1
OpenEdge ABL,2014-05,3
Objective-C++,2014-05,5
SQL,2014-05,17
FORTRAN,2014-05,5
ColdFusion,2014-05,3
IDL,2014-05,2
Python,2014-05,784
C,2014-05,429
Matlab,2014-04,48
Arduino,2014-04,14
TeX,2014-04,97
Shell,2014-04,163
Puppet,2014-04,12
