repository_language,date,activity
JavaScript,2014-09-01,308560
Java,2014-09-01,165397
Python,2014-09-01,146978
CSS,2014-09-01,115773
PHP,2014-09-01,111148
Ruby,2014-09-01,105411
C++,2014-09-01,71386
C,2014-09-01,62724
Shell,2014-09-01,43312
C#,2014-09-01,36928
Objective-C,2014-09-01,33083
Go,2014-09-01,21665
CoffeeScript,2014-09-01,12068
Perl,2014-09-01,11446
Scala,2014-09-01,10590
VimL,2014-09-01,9785
R,2014-09-01,9269
TeX,2014-09-01,8447
Lua,2014-09-01,5609
Clojure,2014-09-01,5515
Haskell,2014-09-01,5252
Emacs Lisp,2014-09-01,5023
Swift,2014-09-01,4895
Groovy,2014-09-01,3611
Rust,2014-09-01,3315
Puppet,2014-09-01,3146
TypeScript,2014-09-01,3078
Matlab,2014-09-01,2739
OCaml,2014-09-01,2609
Erlang,2014-09-01,2537
PowerShell,2014-09-01,2069
Dart,2014-09-01,2036
XSLT,2014-09-01,1812
Arduino,2014-09-01,1717
Julia,2014-09-01,1641
ActionScript,2014-09-01,1474
Common Lisp,2014-09-01,1382
D,2014-09-01,1238
F#,2014-09-01,1186
Assembly,2014-09-01,1127
Pascal,2014-09-01,1083
Visual Basic,2014-09-01,978
Nix,2014-09-01,949
Scheme,2014-09-01,938
Haxe,2014-09-01,922
FORTRAN,2014-09-01,892
DM,2014-09-01,797
Elixir,2014-09-01,796
Processing,2014-09-01,735
ASP,2014-09-01,698
SQF,2014-09-01,558
Racket,2014-09-01,516
Objective-C++,2014-09-01,430
SQL,2014-09-01,429
IDL,2014-09-01,402
LiveScript,2014-09-01,377
Vala,2014-09-01,374
Prolog,2014-09-01,374
ColdFusion,2014-09-01,369
Game Maker Language,2014-09-01,367
Apex,2014-09-01,314
BlitzBasic,2014-09-01,309
Mathematica,2014-09-01,300
Verilog,2014-09-01,274
Cuda,2014-09-01,270
Tcl,2014-09-01,267
Coq,2014-09-01,262
AGS Script,2014-09-01,229
nesC,2014-09-01,212
VHDL,2014-09-01,209
OpenSCAD,2014-09-01,186
AutoHotkey,2014-09-01,184
Smalltalk,2014-09-01,178
Objective-J,2014-09-01,156
PureScript,2014-09-01,156
SourcePawn,2014-09-01,154
Standard ML,2014-09-01,153
Xtend,2014-09-01,147
Eiffel,2014-09-01,142
Gosu,2014-09-01,141
Kotlin,2014-09-01,141
OpenEdge ABL,2014-09-01,136
xBase,2014-09-01,133
JSONiq,2014-09-01,130
Gnuplot,2014-09-01,127
Logos,2014-09-01,127
AutoIt,2014-09-01,120
Perl6,2014-09-01,117
Agda,2014-09-01,110
Max,2014-09-01,110
Pan,2014-09-01,98
LabVIEW,2014-09-01,89
Ada,2014-09-01,87
SAS,2014-09-01,86
GAP,2014-09-01,84
Pure Data,2014-09-01,83
Propeller Spin,2014-09-01,82
AppleScript,2014-09-01,80
Crystal,2014-09-01,80
PAWN,2014-09-01,77
Awk,2014-09-01,76
M,2014-09-01,72
XQuery,2014-09-01,71
DOT,2014-09-01,63
XML,2014-09-01,59
Nimrod,2014-09-01,57
RobotFramework,2014-09-01,54
Mercury,2014-09-01,54
ooc,2014-09-01,53
Stata,2014-09-01,52
CLIPS,2014-09-01,52
NetLogo,2014-09-01,49
Elm,2014-09-01,45
KRL,2014-09-01,45
MoonScript,2014-09-01,43
Augeas,2014-09-01,43
ATS,2014-09-01,41
ABAP,2014-09-01,40
ANTLR,2014-09-01,37
Scilab,2014-09-01,36
SuperCollider,2014-09-01,36
Ceylon,2014-09-01,35
Rebol,2014-09-01,35
Inform 7,2014-09-01,35
Nemerle,2014-09-01,34
Io,2014-09-01,34
Brightscript,2014-09-01,27
Alloy,2014-09-01,26
Turing,2014-09-01,26
VCL,2014-09-01,25
Lasso,2014-09-01,24
Pike,2014-09-01,24
Arc,2014-09-01,23
Monkey,2014-09-01,22
J,2014-09-01,22
Logtalk,2014-09-01,22
Mirah,2014-09-01,21
Dylan,2014-09-01,18
Squirrel,2014-09-01,18
Idris,2014-09-01,17
HaXe,2014-09-01,17
SystemVerilog,2014-09-01,17
Isabelle,2014-09-01,17
Delphi,2014-09-01,17
Hy,2014-09-01,16
AspectJ,2014-09-01,16
Slash,2014-09-01,15
BlitzMax,2014-09-01,13
LookML,2014-09-01,12
Factor,2014-09-01,12
Parrot,2014-09-01,12
FLUX,2014-09-01,12
wisp,2014-09-01,12
Forth,2014-09-01,11
PigLatin,2014-09-01,11
Grammatical Framework,2014-09-01,11
Bluespec,2014-09-01,11
Component Pascal,2014-09-01,10
Boo,2014-09-01,10
XC,2014-09-01,10
Red,2014-09-01,10
COBOL,2014-09-01,9
UnrealScript,2014-09-01,9
Bro,2014-09-01,8
REALbasic,2014-09-01,7
Frege,2014-09-01,7
Zephir,2014-09-01,6
Fantom,2014-09-01,4
PogoScript,2014-09-01,4
Glyph,2014-09-01,4
Chapel,2014-09-01,3
Clean,2014-09-01,2
Fancy,2014-09-01,2
Nu,2014-09-01,2
Xojo,2014-09-01,1
EmberScript,2014-09-01,1
XProc,2014-09-01,1
Ragel in Ruby Host,2014-09-01,1
Opa,2014-09-01,1
Grace,2014-09-01,1
Volt,2014-09-01,1
Ecl,2014-09-01,1
JavaScript,2014-08-01,1697947
Java,2014-08-01,893003
Python,2014-08-01,845891
CSS,2014-08-01,683973
PHP,2014-08-01,619100
Ruby,2014-08-01,602959
C++,2014-08-01,408866
C,2014-08-01,350804
Shell,2014-08-01,231030
C#,2014-08-01,208167
Objective-C,2014-08-01,198861
Go,2014-08-01,124717
CoffeeScript,2014-08-01,71560
R,2014-08-01,69890
Perl,2014-08-01,60150
Scala,2014-08-01,59912
VimL,2014-08-01,59885
Lua,2014-08-01,41201
TeX,2014-08-01,39305
Haskell,2014-08-01,34761
Swift,2014-08-01,32289
Emacs Lisp,2014-08-01,29931
Clojure,2014-08-01,29113
TypeScript,2014-08-01,22348
Rust,2014-08-01,21212
Groovy,2014-08-01,20778
Puppet,2014-08-01,17345
Matlab,2014-08-01,15126
Erlang,2014-08-01,13793
Dart,2014-08-01,10393
XSLT,2014-08-01,10097
Arduino,2014-08-01,9798
PowerShell,2014-08-01,9176
OCaml,2014-08-01,9052
Julia,2014-08-01,8993
ActionScript,2014-08-01,8705
Assembly,2014-08-01,8552
D,2014-08-01,7399
Elixir,2014-08-01,6921
DM,2014-08-01,6383
Scheme,2014-08-01,6044
Visual Basic,2014-08-01,5396
Common Lisp,2014-08-01,5054
Pascal,2014-08-01,5041
Haxe,2014-08-01,4801
FORTRAN,2014-08-01,4676
F#,2014-08-01,4533
Processing,2014-08-01,4454
Nix,2014-08-01,4270
ASP,2014-08-01,3945
LiveScript,2014-08-01,3896
Tcl,2014-08-01,3112
Objective-C++,2014-08-01,2549
ColdFusion,2014-08-01,2473
Vala,2014-08-01,2437
Racket,2014-08-01,2296
SQL,2014-08-01,2223
IDL,2014-08-01,2179
BlitzBasic,2014-08-01,1967
Apex,2014-08-01,1820
AutoHotkey,2014-08-01,1775
Prolog,2014-08-01,1735
Verilog,2014-08-01,1727
VHDL,2014-08-01,1611
Mathematica,2014-08-01,1588
Coq,2014-08-01,1363
Game Maker Language,2014-08-01,1304
Cuda,2014-08-01,1271
Logos,2014-08-01,1210
SourcePawn,2014-08-01,1194
Gosu,2014-08-01,1182
nesC,2014-08-01,1075
OpenEdge ABL,2014-08-01,1060
Xtend,2014-08-01,1021
